Name,On-Target Shots,Blocked Shots,Total Shots,On-Target Free Kick Shots,Total Free Kick Shots,Shots Accuracy,Free Kick Shots Accuracy,Total Shot Score,Shot Accuracy Score,Free Kick Accuracy Score,Shot Score
Huskies_G1,0,0,0,0,0,0,0,60,49,44,27
Huskies_F1,15,9,38,0,0,0.5172413793103449,0,98,71.0344827586207,45,71.31379310344828
Huskies_D1,1,2,12,0,0,0.1,0,72,46.0,49,52.400000000000006
Huskies_M1,8,6,24,0,0,0.4444444444444444,0,84,66.66666666666666,43,60.66666666666667
Huskies_F2,10,7,35,1,3,0.35714285714285715,0.3333333333333333,95,61.42857142857143,73.33333333333333,75.07142857142857
Huskies_D2,3,3,8,0,0,0.6,0,68,60.0,44,55.2
Huskies_M2,1,0,1,0,0,1.0,0,61,70.0,43,57.400000000000006
Huskies_M3,0,3,5,0,0,0.0,0,65,45.0,41,47.400000000000006
Huskies_D3,2,0,5,0,0,0.4,0,65,55.0,50,55.0
Huskies_D4,1,1,3,1,2,0.5,0.5,63,57.5,80.0,67.6
Huskies_F3,1,5,9,0,0,0.25,0,69,51.25,42,53.800000000000004
Huskies_D5,1,1,3,0,0,0.5,0,63,57.5,41,52.0
Huskies_M4,2,10,21,0,0,0.18181818181818182,0,81,50.90909090909091,47,55.36363636363636
Huskies_M5,2,0,4,0,0,0.5,0,64,57.5,43,53.0
Huskies_D6,1,2,6,0,0,0.25,0,66,51.25,49,53.300000000000004
Huskies_M6,12,14,34,0,3,0.6,0.0,94,76.0,60.0,73.2
Huskies_M7,0,0,0,0,0,0,0,60,47,46,49.2
Huskies_M8,1,2,4,0,0,0.5,0,64,57.5,48,55.0
Huskies_M9,1,2,5,0,0,0.3333333333333333,0,65,53.33333333333333,48,53.53333333333333
Huskies_F4,19,9,37,0,0,0.6785714285714286,0,97,80.71428571428572,50,76.38571428571429
Huskies_D7,1,1,2,0,0,1.0,0,62,70.0,49,60.0
Huskies_M10,0,2,3,0,0,0.0,0,63,45.0,43,47.8
Huskies_M11,0,0,0,0,0,0,0,60,43,45,47.2
Huskies_M12,6,4,18,0,0,0.42857142857142855,0,78,65.71428571428571,42,58.68571428571428
Huskies_M13,0,0,1,0,0,0.0,0,61,45.0,45,48.2
Huskies_F5,8,3,18,0,0,0.5333333333333333,0,78,72.0,40,64.2
Huskies_F6,9,7,18,0,0,0.8181818181818182,0,78,89.0909090909091,42,71.63636363636364
Huskies_D8,1,1,4,0,0,0.3333333333333333,0,64,53.33333333333333,40,50.13333333333333
Huskies_D9,0,1,1,0,0,0,0,61,45,47,49.0
Huskies_D10,0,0,1,0,0,0.0,0,61,45.0,42,47.0
